id;value
852;Construction, quincaillerie, habitat et menuiserie aluminium
853;Produit chimique
854;commercialisation des œufs de cailles
855;DISTRIBUTION ET TRADE MARKETING
856;TRADE MARKETING ET DISTRIBUTION
857;TRADE MARKETING - PRESTATION DE SERVICE
858;Prestation de service
859;Concessionnaire automobile
860;droit et informatique
861;Fabrication de fishing tackles
862;publique
863;centre Hospitalier
864;Technologie de l'information et de Communication
865;Commune Urbaine Antananarivo
866;Hôtel et Restaurant
867;Centre d'éducation d'orphelins
868;EMBOUTEILLEUR
869;Centre d’accueil  des enfants et des jeunes (ASSOCIATION)
870;animatrice 
871;Animatrice de vente de produits cosmétiques
872;Informatique et Logistique
873;Informatique et Comptabilité
874;VENTE DE PRODUIT ET CONSOMMABLE MEDICAL
875;Conférence éléctorale
876;SOCIETE COMMERCIALE EN PRODUITS CHIMIQUES
877;SOCIETE COMMERCIALE PRODUITS CHIMIQUES
878;DETERGENTS et EMBALLAGES
879;EMBOUTEILLEUR ET VENTE DES BOISSONS ALCOOLIQUE
880;MICROFINANCE ET BANQUE
881;Organisation Non gouvernemental œuvrant dans le développement solidaire
882;ventes des produits selon leurs catégories, tels que les épiceries, l'hygiènes et toiletteries, les aliments congelées, 
883;groupe électrogène et climatisation 
884;SURETÉ ET SÉCURITÉ AEROPORUAIRE
885;marketing et vente
886;informatique
887;QUALITE
888;électronique et informatique
889;Commerce et Marketing
890;bureau d étude et sensibilisation
891;Oeuvre caritative
892;TECHNICIEN AGRICOLE
893;Vendeur
894;Conducteur
895;TELEPROSPECTION
896;Entreprise de distribution des produits cosmetiques
897;Bancaire
898;Fournisseur d'Energie
899;bureau d'étude et sensibilisation
900;Association œuvre caritative
901;Transite et douane
902;Institut de recherche en Géophysique
903;Menuiserie
904;Cabinet d'architecture
905;Ascenseur
906;Location matériel
907;Enseignement primaire
908;Domaine d’enquête 
909;agence de mannequin
910;Industrie et distribution
911;Zone France – location immobilière
912;Compagnie d’assurance
913;Distributeur Alimentaire
914;SECTEUR TERTIARE
915;Opérateur téléphonique et réseau
916;Compagnie aérienne
917;Cabinet de recrutement
918;Consultance en transit, comptabilité et administration
919;TEXTILE et CONFECTION - Entreprise franche
920;Trésor
921;Pisciculture
922; Travaux publics
923;Vente d'actions de l'Etat Malagasy
924;Location DVD
925;Photographie / Téléphonie
926;Commerce PPN
927;Enseignant
928;Secrétaire
929;adjoint
930;Constat des accidents matériels et corporels
931;Gestion clientèle
932;Coopérative Internationale
933;Location de voiture
934;Consultante
935;BOISSON ( jus et rhum)
936;biscuit et confiserie
937;Bâtiment et travaux publics
938;Opérateur téléphonique Temporaire
939;secrétaire bénévolat  qui s'occupe de jeune
940;Projet
941;Armement maritime - Pilotage et lamanage
943;"maritime; commercial; vente automobile"
944;shop magasin 
945;Service Commerciale
946;vente des marchandises générale et exportateur des produits locaux
947;Énergie éolienne
948;Alluvionnaire d'or
949;Service public
950;Commercialisation des produits Canal plus Madagascar
951;Projet USAID
952;Projet Campagne Élection Présidentielle 
953;Pressing
954;Télésurveillance
955;Projet de développement
956;Micro-irrigation et agroécologie
957;Opérateur Mobile
958;Station service
959;Restauration
960;Métallique
961;Projet Secaline
962;INFORMATIQUE ET COMMUNICATION,
963;Opérateur
