id;diplome;created
1847;Attestation en correspondance commerciale;04/06/2018 16:25
1848; Attestation;05/06/2018 09:21
1849;licence administration d'entreprise et commerce;05/06/2018 12:54
1850;Certificat de formation en CAD ;05/06/2018 12:54
1851;Licence en administration d'entreprise et commerce;05/06/2018 13:43
1852;Bac + 2 en commerce international specialité transit et douane;05/06/2018 13:43
1853;Master 2 en Géophysique Appliquée;06/06/2018 10:29
1854;Master professionnel en Informatique;06/06/2018 10:59
1855;certificat de formation transit et douane;07/06/2018 14:41
1856;Attestation en Gestion de projet/ Synergie de groupe et transversalité;08/06/2018 11:14
1857;Attestation en Business Model;08/06/2018 11:14
1858;Attestation en Contrôle de Gestion;08/06/2018 11:14
1859;Attestation en Evaluation de Projet;08/06/2018 11:14
1860;Certificat Supérieur en Contrôle de Gestion;08/06/2018 11:14
1861;Brevet de technicien en Informatique et Gestion;08/06/2018 11:14
1862;Certificat de Fin d'Etude en Mécanique Automobile;08/06/2018 11:14
1863;licence professionnelle en Commerce internarional;09/06/2018 20:00
1864;"DTS en commerce international ""operation transit et douane""";12/06/2018 08:35
1865;certificat de formation CAD et TM ;12/06/2018 08:35
1866;Bac + 3 en Administartion des Entreprises et commerce ;12/06/2018 11:56
1867;Bac Technologique Tertiaire;12/06/2018 11:56
1868;Bac Pro en secrétariat;12/06/2018 13:57
1869; BAC+2 en hôtellerie ;13/06/2018 11:12
1870;Attesttion de fin de stage;13/06/2018 13:47
1871;Attestation de fin de stage en HQSE;13/06/2018 13:47
1872;Attestation de fin de stage;13/06/2018 13:47
1873;Master I en Gestion et management d'entreprise;18/06/2018 13:56
1874;INGENIEUR EN GENIE MECANIQUE;19/06/2018 11:18
1875;DTS(Diplôme de Technicien supérieur) en GESTION;19/06/2018 21:00
1876;Attestation Leadership Development (FDA : Formation des Animateurs) ;20/06/2018 10:48
1877;Attestation Nation Builder: une formation pour devenir un moniteur de camp ;20/06/2018 10:48
1878;INGENIEUR EN ELECTROMECANIQUES ET INFORMATIQUES INDUSTRIELLES;21/06/2018 16:52
1879;Licence 2 en MATHEMATIQUES ET INFORMATIQUES;21/06/2018 19:23
